elixir-italy.galaxy.refdata,"galaxy Epigen, galaxy RNA-workbench, Galaxy GDC Somatic Variant Calling",https://gist.github.com/pmandreoli/6498e8296dac97f49974fda20416e335
elixir-italy.covacs.refdata,galaxy CoVaCS,https://gist.github.com/pmandreoli/4271bd983d3f4e7f9ed24d2adbd9f96e
